priority,reason,work_key,authors,unresolved_authors,resolved_targets,file_count,titles,target,note
low,no_author_candidate,不詳/樂邦遺稿,,,,2,樂邦遺稿 | 樂邦遺稿__juan_01.txt | 樂邦遺稿/卷001 | 樂邦遺稿__juan_02.txt | 樂邦遺稿/卷002,,
low,one_or_more_authors_have_no_usable_date,不詳/櫻桃,謝希孟,謝希孟,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/次韻章舜舉,陳造,陳造,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/歙州硯譜,唐積,唐積,,1,,,
low,no_author_candidate,不詳/武林舊事,,,,10,武林舊事 | 武林舊事__juan_01.txt | 武林舊事/卷一 | 武林舊事__juan_02.txt | 武林舊事/卷二 | 武林舊事__juan_03.txt,,
low,one_or_more_authors_have_no_usable_date,不詳/武陵春 (曹勳),曹勳,曹勳,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/歲寒堂詩話,張戒,張戒,,1,,,
low,no_author_candidate,不詳/歷代兵制,,,,8,歷代兵制 | 歷代兵制__juan_01.txt | 歷代兵制/卷1 | 歷代兵制__juan_02.txt | 歷代兵制/卷2 | 歷代兵制__juan_03.txt,,
low,no_author_candidate,不詳/歸田樂 (樂府雅詞),,,,1,歸田樂 (樂府雅詞) | 歸田樂 (樂府雅詞)__juan_01.txt,,
low,one_or_more_authors_have_no_usable_date,不詳/永明智覺禪師唯心訣,延壽,延壽,,1,,,
low,no_author_candidate,不詳/江南野史,,,,10,江南野史 | 江南野史__juan_01.txt | 江南野史/卷01 | 江南野史__juan_02.txt | 江南野史/卷02 | 江南野史__juan_03.txt,,
low,one_or_more_authors_have_no_usable_date,不詳/沙彌威儀,求那跋摩,求那跋摩,,1,,,
high,review,不詳/泉志,洪遵,,,1,,南宋,target_work_folder_exists
low,one_or_more_authors_have_no_usable_date,不詳/法智遺編觀心二百問,繼忠,繼忠,,1,,,
low,no_author_candidate,不詳/浩然齋雅談,,,,3,浩然齋雅談 | 浩然齋雅談__juan_01.txt | 浩然齋雅談/卷上 | 浩然齋雅談__juan_02.txt | 浩然齋雅談/卷中 | 浩然齋雅談__juan_03.txt,,
low,no_author_candidate,不詳/涅槃玄義發源機要,,,,4,涅槃玄義發源機要 | 涅槃玄義發源機要__juan_01.txt | 涅槃玄義發源機要/卷001 | 涅槃玄義發源機要__juan_02.txt | 涅槃玄義發源機要/卷002 | 涅槃玄義發源機要__juan_03.txt,,
low,one_or_more_authors_have_no_usable_date,不詳/涉史隨筆,葛洪,葛洪,,1,,,
low,no_author_candidate,不詳/混元聖記,,,,9,混元聖記 | 混元聖記__juan_01.txt | 混元聖記/1 | 混元聖記__juan_02.txt | 混元聖記/2 | 混元聖記__juan_03.txt,,
low,one_or_more_authors_have_no_usable_date,不詳/清平樂 (柳塘書事),呂本中，柳塘書事,柳塘書事,呂本中->南宋,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/溪橋晚興,鄭協,鄭協,,1,,,
